# RADII         VROT    VRAD   VDISP      INC       PA      Z0    DENS    XPOS    YPOS    VSYS
0.00000          0.0     0.0    10.0    60.00    40.00    10.0   18.39    25.5    25.5    40.0
20.00000       141.0     0.0    10.0    60.00    40.00    10.0   19.16    25.5    25.5    40.0
40.00000       168.8     0.0    10.0    60.00    40.00    10.0   19.66    25.5    25.5    40.0
60.00000       179.0     0.0    10.0    60.00    40.00    10.0   19.94    25.5    25.5    40.0
80.00000       184.2     0.0    10.0    60.00    40.00    10.0   20.04    25.5    25.5    40.0
100.00000      187.3     0.0    10.0    60.00    40.00    10.0   19.99    25.5    25.5    40.0
120.00000      189.4     0.0    10.0    60.00    40.00    10.0   19.83    25.5    25.5    40.0
140.00000      190.9     0.0    10.0    60.00    40.00    10.0   19.57    25.5    25.5    40.0
160.00000      192.1     0.0    10.0    59.88    40.00    10.0   19.23    25.5    25.5    40.0
