# RADII         VROT    VRAD   VDISP      INC       PA      Z0    DENS    XPOS    YPOS    VSYS
0.00000          0.0     0.0    10.0    60.00    40.00     0.0   18.39    75.0    75.0    40.0
20.00000       141.0     0.0    10.0    60.00    40.00     0.0   19.16    75.0    75.0    40.0
40.00000       168.8     0.0    10.0    60.00    40.00     0.0   19.66    75.0    75.0    40.0
60.00000       179.0     0.0    10.0    60.00    40.00     0.0   19.94    75.0    75.0    40.0
80.00000       184.2     0.0    10.0    60.00    40.00     0.0   20.04    75.0    75.0    40.0
100.00000      187.3     0.0    10.0    60.00    40.00     0.0   19.99    75.0    75.0    40.0
120.00000      189.4     0.0    10.0    60.00    40.00     0.0   19.83    75.0    75.0    40.0
140.00000      190.9     0.0    10.0    60.00    40.00     0.0   19.57    75.0    75.0    40.0
160.00000      192.1     0.0    10.0    60.00    40.00     0.0   19.23    75.0    75.0    40.0
