# RADII         VROT    VRAD   VDISP      INC       PA      Z0    DENS    XPOS    YPOS    VSYS
0.00000          0.0     0.0    10.0    45.00    60.00     0.0   18.39    15.0    15.0    40.0
20.00000       141.0     0.0    10.0    45.00    60.00     0.0   19.16    15.0    15.0    40.0
40.00000       168.8     0.0    10.0    45.00    60.00     0.0   19.66    15.0    15.0    40.0
60.00000       179.0     0.0    10.0    45.00    60.00     0.0   19.94    15.0    15.0    40.0
80.00000       184.2     0.0    10.0    45.00    60.00     0.0   20.04    15.0    15.0    40.0
100.00000      187.3     0.0    10.0    45.00    60.00     0.0   19.99    15.0    15.0    40.0
120.00000      189.4     0.0    10.0    45.00    60.00     0.0   19.83    15.0    15.0    40.0
140.00000      190.9     0.0    10.0    45.00    60.00     0.0   19.57    15.0    15.0    40.0
160.00000      192.1     0.0    10.0    45.00    60.00     0.0   19.23    15.0    15.0    40.0
