# RADII         VROT    VRAD   VDISP      INC       PA      Z0    DENS    XPOS    YPOS    VSYS
0.00000          0.0     0.0    10.0    60.00   303.70    10.0   18.39    75.0    75.0   132.8
20.00000        56.2     0.0    10.0    60.00   303.70    10.0   19.16    75.0    75.0   132.8
40.00000        88.6     0.0    10.0    60.00   303.70    10.0   19.66    75.0    75.0   132.8
60.00000       105.7     0.0    10.0    60.00   303.70    10.0   19.94    75.0    75.0   132.8
80.00000       115.7     0.0    10.0    60.00   303.70    10.0   20.04    75.0    75.0   132.8
100.00000      122.2     0.0    10.0    60.00   303.70    10.0   19.99    75.0    75.0   132.8
120.00000      126.6     0.0    10.0    60.00   303.70    10.0   19.83    75.0    75.0   132.8
140.00000      129.8     0.0    10.0    60.00   303.70    10.0   19.57    75.0    75.0   132.8
160.00000      132.3     0.0    10.0    60.00   303.70    10.0   19.23    75.0    75.0   132.8
180.00000      134.2     0.0    10.0    60.00   303.70    10.0   18.83    75.0    75.0   132.8
200.00000      135.8     0.0    10.0    60.00   303.70    10.0   18.39    75.0    75.0   132.8
220.00000      137.1     0.0    10.0    60.00   303.70    10.0   17.92    75.0    75.0   132.8
240.00000      138.1     0.0    10.0    60.00   303.70    10.0   17.42    75.0    75.0   132.8
260.00000      139.0     0.0    10.0    60.00   303.70    10.0   16.90    75.0    75.0   132.8
280.00000      139.8     0.0    10.0    60.00   303.70    10.0   16.37    75.0    75.0   132.8
300.00000      140.5     0.0    10.0    60.00   303.70    10.0   15.83    75.0    75.0   132.8
320.00000      141.1     0.0    10.0    60.00   303.70    10.0   15.29    75.0    75.0   132.8
340.00000      141.6     0.0    10.0    60.00   303.70    10.0   14.76    75.0    75.0   132.8
360.00000      142.1     0.0    10.0    60.00   303.70    10.0   14.22    75.0    75.0   132.8
380.00000      142.5     0.0    10.0    60.00   303.70    10.0   13.70    75.0    75.0   132.8
400.00000      142.9     0.0    10.0    60.00   303.70    10.0   13.18    75.0    75.0   132.8
420.00000      143.2     0.0    10.0    60.00   303.70    10.0   12.67    75.0    75.0   132.8
