# RADII         VROT    VRAD   VDISP      INC       PA      Z0    DENS    XPOS    YPOS    VSYS
0.00000          0.0     0.0    10.0    60.00   303.70    10.0   18.39    75.0    75.0   132.8
60.00000       179.0     0.0    10.0    60.00   303.70    10.0   19.94    75.0    75.0   132.8
120.00000      189.4     0.0    10.0    60.00   303.70    10.0   19.83    75.0    75.0   132.8
180.00000      192.9     0.0    10.0    60.00   303.70    10.0   18.83    75.0    75.0   132.8
240.00000      194.7     0.0    10.0    60.00   303.70    10.0   17.42    75.0    75.0   132.8
300.00000      195.8     0.0    10.0    60.00   303.70    10.0   15.83    75.0    75.0   132.8
360.00000      196.5     0.0    10.0    60.00   303.70    10.0   14.22    75.0    75.0   132.8
420.00000      197.0     0.0    10.0    60.00   303.70    10.0   12.67    75.0    75.0   132.8
480.00000      197.3     0.0    10.0    60.00   303.70    10.0   11.22    75.0    75.0   132.8
540.00000      197.6     0.0    10.0    60.00   303.70    10.0    9.89    75.0    75.0   132.8
600.00000      197.9     0.0    10.0    60.00   303.70    10.0    8.69    75.0    75.0   132.8
660.00000      198.1     0.0    10.0    60.00   303.70    10.0    7.61    75.0    75.0   132.8
720.00000      198.2     0.0    10.0    60.00   303.70    10.0    6.65    75.0    75.0   132.8
780.00000      198.4     0.0    10.0    60.00   303.70    10.0    5.80    75.0    75.0   132.8
840.00000      198.5     0.0    10.0    60.00   303.70    10.0    5.05    75.0    75.0   132.8
900.00000      198.6     0.0    10.0    60.00   303.70    10.0    4.39    75.0    75.0   132.8
960.00000      198.7     0.0    10.0    60.00   303.70    10.0    3.82    75.0    75.0   132.8
1020.00000     198.8     0.0    10.0    60.00   303.70    10.0    3.31    75.0    75.0   132.8
1080.00000     198.8     0.0    10.0    60.00   303.70    10.0    2.87    75.0    75.0   132.8
1140.00000     198.9     0.0    10.0    60.00   303.70    10.0    2.49    75.0    75.0   132.8
1200.00000     198.9     0.0    10.0    60.00   303.70    10.0    2.16    75.0    75.0   132.8
