# RADII         VROT    VRAD   VDISP      INC       PA      Z0    DENS    XPOS    YPOS    VSYS
1000.00000     198.7     0.0    10.0    60.00   303.70    10.0    3.47    75.0    75.0   132.8
1020.00000     198.8     0.0    10.0    60.00   303.70    10.0    3.31    75.0    75.0   132.8
1040.00000     198.8     0.0    10.0    60.00   303.70    10.0    3.16    75.0    75.0   132.8
1060.00000     198.8     0.0    10.0    60.00   303.70    10.0    3.01    75.0    75.0   132.8
1080.00000     198.8     0.0    10.0    60.00   303.70    10.0    2.87    75.0    75.0   132.8
1100.00000     198.8     0.0    10.0    60.00   303.70    10.0    2.74    75.0    75.0   132.8
1120.00000     198.9     0.0    10.0    60.00   303.70    10.0    2.61    75.0    75.0   132.8
1140.00000     198.9     0.0    10.0    60.00   303.70    10.0    2.49    75.0    75.0   132.8
1160.00000     198.9     0.0    10.0    60.00   303.70    10.0    2.37    75.0    75.0   132.8
1180.00000     198.9     0.0    10.0    60.00   303.70    10.0    2.26    75.0    75.0   132.8
1200.00000     198.9     0.0    10.0    60.00   303.70    10.0    2.16    75.0    75.0   132.8
